Population (Age 18 to 39) for California by County
"All Races (includes Hispanic/Latino), Both Sexes, 2019-2023"
Sorted by Value

County,FIPS,Value (Percent),People (Age 18-39),Rank within US (of 3143 counties)
"California",06000,31.1,12197308,"46 of 52"
"United States",00000,29.5,98058393,"N/A"
"Yolo County",06113,39.5,85998,"3,076"
"San Francisco County",06075,36.8,307797,"3,042"
"Kings County",06031,35.0,53520,"2,982"
"Lassen County",06035,34.7,10819,"2,972"
"Butte County",06007,34.0,71148,"2,949"
"Santa Barbara County",06083,33.9,150471,"2,945"
"San Diego County",06073,33.1,1087181,"2,907"
"Yuba County",06115,32.6,27125,"2,888"
"Santa Clara County",06085,32.3,614106,"2,869"
"San Luis Obispo County",06079,32.2,90637,"2,864"
"Merced County",06047,32.1,91698,"2,853"
"Alameda County",06001,32.0,528045,"2,848"
"Los Angeles County",06037,32.0,3156229,"2,848"
"San Bernardino County",06071,31.9,698760,"2,842"
"Kern County",06029,31.8,289860,"2,835"
"Humboldt County",06023,31.7,42890,"2,828"
"Santa Cruz County",06087,31.7,84269,"2,828"
"Fresno County",06019,31.6,320218,"2,819"
"San Benito County",06069,31.1,20565,"2,776"
"Sacramento County",06067,31.0,491336,"2,769"
"Tulare County",06107,31.0,147509,"2,769"
"Imperial County",06025,30.9,55457,"2,755"
"Mono County",06051,30.9,4070,"2,755"
"Stanislaus County",06099,30.3,167562,"2,686"
"Monterey County",06053,30.1,131085,"2,659"
"San Joaquin County",06077,30.1,237311,"2,659"
"Riverside County",06065,29.9,733482,"2,633"
"Orange County",06059,29.8,944371,"2,610"
"Madera County",06039,29.6,47031,"2,583"
"San Mateo County",06081,29.3,217956,"2,518"
"Solano County",06095,29.3,132209,"2,518"
"Sutter County",06101,29.0,28684,"2,463"
"Ventura County",06111,28.6,239337,"2,390"
"Del Norte County",06015,28.2,7692,"2,310"
"Glenn County",06021,28.2,8064,"2,310"
"Colusa County",06011,27.3,5982,"2,077"
"Contra Costa County",06013,27.3,317063,"2,077"
"Napa County",06055,26.9,36622,"1,965"
"Sonoma County",06097,26.8,130184,"1,935"
"Alpine County",06003,26.3,446,"1,756"
"Shasta County",06089,25.9,47013,"1,595"
"Tehama County",06103,25.7,16858,"1,522"
"Placer County",06061,24.6,101371,"1,125"
"Mendocino County",06045,24.4,22098,"1,051"
"Amador County",06005,23.6,9673,"817"
"Tuolumne County",06109,23.4,12850,"758"
"Lake County",06033,23.3,15865,"731"
"El Dorado County",06017,23.2,44529,"708"
"Modoc County",06049,22.3,1926,"482"
"Inyo County",06027,22.2,4166,"461"
"Siskiyou County",06093,21.9,9620,"408"
"Nevada County",06057,21.7,22265,"384"
"Plumas County",06063,21.5,4212,"348"
"Calaveras County",06009,21.0,9668,"279"
"Marin County",06041,20.8,53859,"246"
"Mariposa County",06043,20.1,3425,"182"
"Trinity County",06105,16.8,2676,"42"
"Sierra County",06091,16.3,445,"27"

Suggested Citation:
HDPulse: An Ecosystem of Minority Health and Health Disparities Resources. National Institute on Minority Health and Health Disparities. Created 10/15/2025. Available from https://hdpulse.nimhd.nih.gov

Notes:
"NA: Data not available [http://hdpulse.nimhd.nih.gov/data/datanotavailable.html] for this combination of geography, cancer site, age, and race/ethnicity."
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population (Age 18 to 39), see the dictionary at http://hdpulse.nimhd.nih.gov/dictionary.php#population."
