Population (Age 18 to 39) for Texas by County
"All Races (includes Hispanic/Latino), Both Sexes, 2019-2023"
Sorted by Value

County,FIPS,Value (Percent),People (Age 18-39),Rank within US (of 3143 counties)
"Texas",48000,31.2,9257706,"47 of 52"
"United States",00000,29.5,98058393,"N/A"
"Brazos County",48041,47.5,113110,"3,130"
"Hudspeth County",48229,40.8,1359,"3,093"
"Walker County",48471,40.8,31955,"3,093"
"Childress County",48075,40.4,2739,"3,089"
"Coryell County",48099,39.9,33437,"3,086"
"Kleberg County",48273,39.5,12088,"3,076"
"Erath County",48143,38.4,16600,"3,067"
"Lubbock County",48303,37.5,118119,"3,053"
"Travis County",48453,37.5,490544,"3,053"
"Bee County",48025,37.1,11491,"3,049"
"Hays County",48209,36.8,94483,"3,042"
"Waller County",48473,36.7,21799,"3,041"
"Edwards County",48137,35.8,499,"3,013"
"Nacogdoches County",48347,35.4,22981,"2,999"
"Reeves County",48389,35.3,4671,"2,996"
"Jones County",48253,35.1,7011,"2,989"
"Madison County",48313,34.9,4741,"2,977"
"Taylor County",48441,34.8,50175,"2,975"
"Frio County",48163,34.6,6238,"2,966"
"Mitchell County",48335,34.6,3108,"2,966"
"Willacy County",48489,34.2,6917,"2,956"
"Bell County",48027,34.0,129219,"2,949"
"Jim Hogg County",48247,34.0,1629,"2,949"
"Dawson County",48115,33.8,4158,"2,936"
"Midland County",48329,33.7,57854,"2,933"
"McLennan County",48309,33.6,88593,"2,932"
"Wichita County",48485,33.5,43525,"2,929"
"Brooks County",48047,33.4,2332,"2,923"
"Ector County",48135,33.4,54536,"2,923"
"Dallas County",48113,33.2,864200,"2,915"
"Bexar County",48029,33.1,674734,"2,907"
"Dimmit County",48127,33.1,2816,"2,907"
"Andrews County",48003,32.7,6048,"2,895"
"El Paso County",48141,32.6,282713,"2,888"
"Garza County",48169,32.6,1774,"2,888"
"Karnes County",48255,32.5,4814,"2,883"
"Harris County",48201,32.3,1535457,"2,869"
"Sherman County",48421,32.2,784,"2,864"
"Howard County",48227,32.0,10585,"2,848"
"Tom Green County",48451,32.0,38152,"2,848"
"Webb County",48479,31.8,85135,"2,835"
"Anderson County",48001,31.7,18351,"2,828"
"Val Verde County",48465,31.6,15053,"2,819"
"Duval County",48131,31.3,3072,"2,793"
"Tarrant County",48439,31.3,669039,"2,793"
"Denton County",48121,31.2,294827,"2,784"
