
County,FIPS,Value (Percent),People (Age 40 And Over),Rank within US (of 3143 counties)
"California",06000,46.7,18316465,"41 of 52"
"United States",00000,48.3,160683909,"N/A"
"Kings County",06031,37.9,57936,"3,079"
"Merced County",06047,38.7,110657,"3,059"
"Tulare County",06107,38.9,185150,"3,051"
"Kern County",06029,39.3,358023,"3,043"
"Yolo County",06113,40.0,87146,"3,023"
"Yuba County",06115,40.1,33314,"3,020"
"Fresno County",06019,40.3,408111,"3,012"
"Imperial County",06025,40.6,72746,"3,004"
"San Bernardino County",06071,42.3,925077,"2,922"
"Stanislaus County",06099,42.8,236373,"2,903"
"Madera County",06039,43.0,68312,"2,889"
"San Joaquin County",06077,43.3,341175,"2,873"
"San Benito County",06069,43.4,28671,"2,866"
"Santa Barbara County",06083,43.7,193896,"2,842"
"Monterey County",06053,43.9,191548,"2,829"
"Colusa County",06011,45.3,9926,"2,732"
"Butte County",06007,45.5,95387,"2,713"
"Glenn County",06021,45.6,13058,"2,697"
"Riverside County",06065,45.6,1117756,"2,697"
"Sutter County",06101,45.6,45119,"2,697"
"San Diego County",06073,45.7,1501432,"2,687"
"Sacramento County",06067,45.9,727044,"2,669"
"Santa Clara County",06085,46.8,890438,"2,556"
"Los Angeles County",06037,47.1,4634641,"2,522"
"Lassen County",06035,47.4,14778,"2,489"
"Alameda County",06001,48.0,792869,"2,413"
"Solano County",06095,48.6,219191,"2,301"
"Orange County",06059,48.8,1544859,"2,265"
"Ventura County",06111,49.3,413127,"2,161"
"Humboldt County",06023,49.4,66843,"2,131"
"San Francisco County",06075,49.5,413796,"2,114"
"Santa Cruz County",06087,49.6,131850,"2,089"
"San Luis Obispo County",06079,50.2,141285,"1,964"
"Tehama County",06103,50.2,32879,"1,964"
"Contra Costa County",06013,50.5,586303,"1,892"
"Mono County",06051,50.7,6680,"1,843"
"Del Norte County",06015,50.8,13873,"1,823"
"San Mateo County",06081,50.9,379080,"1,802"
"Alpine County",06003,51.1,866,"1,751"
"Shasta County",06089,52.4,95137,"1,415"
"Napa County",06055,53.2,72425,"1,214"
"Placer County",06061,53.5,220454,"1,137"
"Sonoma County",06097,53.9,261520,"1,056"
"Mendocino County",06045,54.5,49469,"912"
"Lake County",06033,55.0,37446,"818"
"El Dorado County",06017,57.1,109853,"535"
"Inyo County",06027,57.5,10818,"493"
"Siskiyou County",06093,57.9,25387,"446"
"Modoc County",06049,58.5,5059,"371"
"Tuolumne County",06109,59.4,32595,"305"
"Marin County",06041,59.5,153894,"296"
"Amador County",06005,60.9,25000,"206"
"Plumas County",06063,61.0,11965,"197"
"Nevada County",06057,61.2,62673,"186"
"Calaveras County",06009,62.1,28559,"159"
"Mariposa County",06043,63.1,10761,"124"
"Trinity County",06105,64.8,10298,"81"
"Sierra County",06091,70.9,1937,"14"
