
County,FIPS,Value (Percent),People (Age 40 And Over),Rank within US (of 3143 counties)
"Texas",48000,43.5,12900107,"49 of 52"
"United States",00000,48.3,160683909,"N/A"
"Jim Hogg County",48247,31.4,1504,"3,132"
"Brazos County",48041,32.2,76629,"3,126"
"McMullen County",48311,34.5,215,"3,119"
"Gaines County",48165,35.9,7858,"3,110"
"Ector County",48135,36.3,59165,"3,106"
"Kleberg County",48273,36.5,11177,"3,104"
"Andrews County",48003,36.6,6773,"3,102"
"Webb County",48479,36.6,97860,"3,102"
"Dallam County",48111,36.7,2632,"3,100"
"Reagan County",48383,36.8,1199,"3,098"
"Starr County",48427,36.8,24217,"3,098"
"Coryell County",48099,37.3,31279,"3,089"
"Midland County",48329,37.3,63928,"3,089"
"Zapata County",48505,37.5,5191,"3,088"
"Hidalgo County",48215,37.8,333094,"3,082"
"Moore County",48341,37.9,8038,"3,079"
"Deaf Smith County",48117,38.2,7071,"3,076"
"Bell County",48027,38.3,145586,"3,072"
"Maverick County",48323,38.4,22202,"3,067"
"Dimmit County",48127,38.5,3278,"3,066"
"Borden County",48033,38.6,279,"3,062"
"Lubbock County",48303,38.9,122280,"3,051"
"Frio County",48163,39.4,7096,"3,041"
"Sterling County",48431,39.5,549,"3,038"
"Waller County",48473,39.6,23530,"3,037"
"Oldham County",48359,39.7,832,"3,034"
"Ochiltree County",48357,39.8,3918,"3,029"
"Reeves County",48389,39.8,5266,"3,029"
"Val Verde County",48465,40.3,19216,"3,012"
"Hays County",48209,40.5,103976,"3,009"
"Kaufman County",48257,40.6,65221,"3,004"
"Taylor County",48441,40.7,58657,"2,999"
"Erath County",48143,40.8,17623,"2,994"
"Childress County",48075,40.9,2773,"2,990"
"El Paso County",48141,41.0,354767,"2,986"
"Nacogdoches County",48347,41.1,26653,"2,981"
"Hudspeth County",48229,41.2,1374,"2,972"
"Liberty County",48291,41.2,40354,"2,972"
"Terry County",48445,41.2,4821,"2,972"
"Dallas County",48113,41.4,1077789,"2,963"
"Ward County",48475,41.5,4669,"2,960"
"Castro County",48069,41.6,3049,"2,955"
"Harris County",48201,41.6,1979697,"2,955"
"Cameron County",48061,41.7,176642,"2,950"
"Bexar County",48029,41.9,854585,"2,945"
"Willacy County",48489,41.9,8466,"2,945"
"Travis County",48453,42.0,549414,"2,939"
"McLennan County",48309,42.2,111346,"2,928"
"Dawson County",48115,42.3,5211,"2,922"
"Bee County",48025,42.4,13151,"2,917"
"Zavala County",48507,42.5,4051,"2,914"
"Duval County",48131,42.8,4206,"2,903"
"Jim Wells County",48249,42.8,16652,"2,903"
"Madison County",48313,42.9,5818,"2,898"
"Tarrant County",48439,43.0,918227,"2,889"
"Chambers County",48071,43.1,21211,"2,883"
"Potter County",48375,43.3,50499,"2,873"
"Hale County",48189,43.4,13993,"2,866"
"Parmer County",48369,43.5,4240,"2,858"
"Uvalde County",48463,43.5,10798,"2,858"
"Wichita County",48485,43.5,56509,"2,858"
"Winkler County",48495,43.8,3303,"2,835"
"Titus County",48449,44.0,13762,"2,823"
"Tom Green County",48451,44.1,52666,"2,819"
"Gregg County",48183,44.2,55230,"2,811"
"Brazoria County",48039,44.4,169479,"2,799"
"Lynn County",48305,44.4,2515,"2,799"
"Walker County",48471,44.5,34844,"2,794"
"Atascosa County",48013,45.0,22545,"2,763"
"Denton County",48121,45.0,425920,"2,763"
"Ellis County",48139,45.1,92028,"2,750"
"Hockley County",48219,45.1,9678,"2,750"
"Swisher County",48437,45.1,3151,"2,750"
"Scurry County",48415,45.2,7511,"2,742"
"Williamson County",48491,45.2,291009,"2,742"
"Yoakum County",48501,45.2,3431,"2,742"
"Randall County",48381,45.3,65141,"2,732"
"Johnson County",48251,45.4,85775,"2,724"
"Victoria County",48469,45.4,41481,"2,724"
"Gray County",48179,45.5,9610,"2,713"
"Howard County",48227,45.5,15081,"2,713"
"Pecos County",48371,45.5,6821,"2,713"
"Nueces County",48355,45.6,160948,"2,697"
"Collin County",48085,45.7,509916,"2,687"
"Fort Bend County",48157,45.7,392623,"2,687"
"Martin County",48317,45.9,2398,"2,669"
"Montgomery County",48339,45.9,300795,"2,669"
"Sherman County",48421,45.9,1118,"2,669"
"Jefferson County",48245,46.1,117089,"2,648"
"Navarro County",48349,46.1,24792,"2,648"
"Sutton County",48435,46.1,1524,"2,648"
"Guadalupe County",48187,46.2,82385,"2,633"
"Rockwall County",48397,46.2,54063,"2,633"
"San Patricio County",48409,46.3,32192,"2,620"
"Bailey County",48017,46.4,3268,"2,610"
