Income (Median household income) for Texas by County
"All Races (includes Hispanic/Latino), Both Sexes, All Ages, 2019-2023"
Sorted by Value

County,FIPS,Value (Dollars),Rank within US (of 3141 counties)
"Texas",48000,"76,292","22 of 52"
"United States",00000,"78,538","N/A"
"Presidio County",48377,"29,014","3,137"
"Brooks County",48047,"31,310","3,130"
"Jeff Davis County",48243,"32,625","3,123"
"Dimmit County",48127,"33,409","3,118"
"Zapata County",48505,"36,527","3,098"
"Starr County",48427,"38,182","3,074"
"Edwards County",48137,"38,500","3,070"
"Swisher County",48437,"39,031","3,064"
"Hudspeth County",48229,"39,336","3,061"
"Newton County",48351,"41,044","3,035"
"Briscoe County",48045,"41,188","3,030"
"Zavala County",48507,"41,887","3,007"
"Cochran County",48079,"42,137","3,002"
"Foard County",48155,"42,212","2,998"
"Jim Hogg County",48247,"42,230","2,996"
"Baylor County",48023,"42,313","2,991"
"Culberson County",48109,"42,672","2,986"
"Real County",48385,"45,417","2,898"
"Willacy County",48489,"45,645","2,888"
"McMullen County",48311,"45,833","2,885"
"Terry County",48445,"45,905","2,883"
"San Augustine County",48405,"46,338","2,865"
"Coke County",48081,"46,431","2,863"
"Hall County",48191,"46,728","2,857"
"Red River County",48387,"46,912","2,849"
"Terrell County",48443,"46,989","2,845"
"Marion County",48315,"47,447","2,820"
"Jim Wells County",48249,"47,492","2,818"
"Menard County",48327,"48,191","2,782"
"Walker County",48471,"49,862","2,695"
"Jasper County",48241,"49,919","2,691"
"Duval County",48131,"50,081","2,679"
"Nolan County",48353,"50,160","2,676"
"Dickens County",48125,"50,417","2,657"
"Shelby County",48419,"50,436","2,651"
"Potter County",48375,"50,448","2,649"
"Garza County",48169,"50,545","2,642"
"Tyler County",48457,"50,647","2,637"
"Loving County",48301,"51,087","2,612"
"Maverick County",48323,"51,270","2,597"
"Cameron County",48061,"51,334","2,596"
"Nacogdoches County",48347,"51,528","2,584"
"Wilbarger County",48487,"51,626","2,581"
"Trinity County",48455,"51,663","2,578"
"Eastland County",48133,"51,741","2,575"
"McCulloch County",48307,"51,919","2,562"
"Crosby County",48107,"52,197","2,544"
"Hidalgo County",48215,"52,281","2,534"
"Upton County",48461,"52,321","2,532"
"Coleman County",48083,"52,364","2,526"
"Brewster County",48043,"52,612","2,517"
"Hale County",48189,"52,788","2,505"
"Live Oak County",48297,"53,869","2,432"
"Haskell County",48207,"54,044","2,421"
"Deaf Smith County",48117,"54,114","2,412"
"Cass County",48067,"54,328","2,394"
"Houston County",48225,"54,563","2,380"
"Stephens County",48429,"54,695","2,370"
"Hockley County",48219,"54,810","2,368"
"San Saba County",48411,"54,855","2,363"
"Camp County",48063,"55,061","2,353"
"Morris County",48343,"55,082","2,349"
"Matagorda County",48321,"55,174","2,343"
"Brown County",48049,"55,305","2,336"
"Hamilton County",48193,"55,339","2,331"
"Falls County",48145,"55,372","2,326"
"Floyd County",48153,"55,461","2,313"
"La Salle County",48283,"55,469","2,312"
"Dawson County",48115,"55,789","2,287"
"Mitchell County",48335,"56,033","2,268"
"Reeves County",48389,"56,056","2,266"
"Bee County",48025,"56,075","2,265"
"Gray County",48179,"56,082","2,264"
"Knox County",48275,"56,304","2,251"
"Donley County",48129,"56,648","2,221"
"Lamb County",48279,"56,997","2,185"
"Lynn County",48305,"57,411","2,153"
"Kleberg County",48273,"57,612","2,136"
"Uvalde County",48463,"57,849","2,119"
"Refugio County",48391,"58,016","2,108"
"Limestone County",48293,"58,109","2,100"
"Irion County",48235,"58,125","2,098"
"Brazos County",48041,"58,388","2,076"
"Freestone County",48161,"58,460","2,068"
"Cottle County",48101,"58,819","2,047"
"Anderson County",48001,"58,846","2,045"
"Angelina County",48005,"58,847","2,043"
"El Paso County",48141,"58,859","2,039"
"Throckmorton County",48447,"58,864","2,037"
"Polk County",48373,"59,066","2,011"
"Milam County",48331,"59,076","2,009"
"Karnes County",48255,"59,103","2,003"
"Titus County",48449,"59,220","1,995"
"Bowie County",48037,"59,295","1,986"
"Navarro County",48349,"59,310","1,983"
"Gonzales County",48177,"59,355","1,978"
"San Jacinto County",48407,"59,526","1,960"
"Goliad County",48175,"59,556","1,958"
"Concho County",48095,"59,632","1,952"
"Val Verde County",48465,"59,673","1,948"
"Cherokee County",48073,"59,830","1,928"
"Crane County",48103,"59,915","1,924"
"Sabine County",48403,"59,924","1,923"
"Jefferson County",48245,"59,934","1,922"
"Comanche County",48093,"59,946","1,921"
"Leon County",48289,"59,975","1,918"
"Frio County",48163,"60,098","1,906"
"Collingsworth County",48087,"60,165","1,899"
"Childress County",48075,"60,333","1,875"
"Lamar County",48277,"61,122","1,806"
"Hardeman County",48197,"61,179","1,799"
"Stonewall County",48433,"61,250","1,792"
"Moore County",48341,"61,325","1,784"
"Jackson County",48239,"61,752","1,745"
"Aransas County",48007,"61,754","1,744"
"Lavaca County",48285,"61,768","1,743"
"Wichita County",48485,"62,168","1,705"
"Webb County",48479,"62,506","1,676"
"Wood County",48499,"62,524","1,673"
"Panola County",48365,"62,593","1,666"
"Scurry County",48415,"62,689","1,657"
"Upshur County",48459,"62,794","1,648"
"Montague County",48337,"62,818","1,646"
"Delta County",48119,"62,855","1,640"
"Motley County",48345,"62,857","1,639"
"Hill County",48217,"63,147","1,610"
"Lubbock County",48303,"63,367","1,596"
"Jones County",48253,"63,472","1,586"
"Castro County",48069,"63,485","1,585"
"Runnels County",48399,"63,490","1,584"
"Young County",48503,"63,723","1,566"
"McLennan County",48309,"63,888","1,555"
"Henderson County",48213,"63,955","1,548"
"DeWitt County",48123,"64,014","1,543"
"Borden County",48033,"64,250","1,530"
"Mills County",48333,"64,494","1,504"
"Shackelford County",48417,"64,659","1,482"
"Fisher County",48151,"64,700","1,474"
"Hopkins County",48223,"64,725","1,472"
"Liberty County",48291,"64,773","1,462"
"Gregg County",48183,"64,809","1,456"
"Rains County",48379,"64,874","1,448"
"Palo Pinto County",48363,"64,972","1,433"
"Ochiltree County",48357,"64,988","1,431"
"Erath County",48143,"65,351","1,394"
"Hutchinson County",48233,"65,470","1,387"
"Llano County",48299,"65,636","1,371"
"Jack County",48237,"65,693","1,367"
"Kimble County",48267,"65,703","1,365"
"Lee County",48287,"66,000","1,355"
"Nueces County",48355,"66,021","1,353"
"Harrison County",48203,"66,040","1,350"
"Bell County",48027,"66,051","1,348"
"Wharton County",48481,"66,100","1,343"
"Roberts County",48393,"66,118","1,340"
"Robertson County",48395,"66,250","1,331"
"Tom Green County",48451,"66,254","1,330"
"Kinney County",48271,"66,341","1,325"
"Taylor County",48441,"66,406","1,322"
"Franklin County",48159,"66,800","1,297"
"Grimes County",48185,"67,080","1,280"
"Madison County",48313,"67,128","1,276"
"Rusk County",48401,"67,506","1,248"
"San Patricio County",48409,"67,512","1,247"
"Pecos County",48371,"67,689","1,230"
"Gillespie County",48171,"67,799","1,217"
"Kerr County",48265,"67,927","1,206"
"Wheeler County",48483,"67,964","1,200"
"Parmer County",48369,"68,164","1,187"
"Van Zandt County",48467,"68,274","1,180"
"Hansford County",48195,"68,299","1,179"
"Fannin County",48147,"68,377","1,174"
"Callahan County",48059,"68,455","1,167"
"Armstrong County",48011,"68,462","1,162"
"Caldwell County",48055,"68,503","1,159"
